SMILES,CHEMSPIDER_ID,CHEMBL_ID,CHEMBL_KNOWN_DRUG,CHEMBL_ALTERNATE_NAME,CLINICALTRIALS_DB,CONCENTRATION_uM,
ClCCN(P1(OCCCN1)=O)CCCl,2804,CHEMBL88,Yes,SID50105634|Cyclophosphamide|SID85230959|Neosar|Cytoxan|SID90341534|SID87150|Sendoxan|,4812,10.0,
ClCC\C(=C(\c1ccc(OCCN(C)C)cc1)/c1ccccc1)\c1ccccc1,2275722,CHEMBL1655,Yes,Fareston|Toremifene|SID29216214|,49,10.0,
ClCOC(=O)[C@@]1(OC(OCC)=O)CC[C@H]2[C@H]3[C@@H]([C@@]4(C(=CC(=O)C=C4)CC3)C)[C@@H](O)C[C@]12C,392049,CHEMBL1200865,Yes,P-5604|Loteprednol Etabonate|HGP-1|Lotemax|CDDD-5604|Alrex|Loteprednol|SID26758016|Airex|,105,10.0,
Cl[C@@]12[C@H]([C@@H]3C[C@H](C)[C@](OC(=O)CC)(C(=O)COC(=O)CC)[C@]3(C[C@@H]1O)C)CCC1=CC(=O)C=C[C@@]12C,20396,CHEMBL1200500,Yes,SCH-18020W|SID56463541|Beclometasone|Beclometasone Dipropionate|SID144206719|Qvar 80|Beclomethasone Dipropionate|Beclovent|Vancenase|Vanceril Double Strength|Beconase|Qnasl|Beclomethasone Dipropionate Monohydrate|Beconase Aq|Vanceril|Beclomethasone|Qvar 40|Vancenase Aq|,377,10.0,
Clc1c(Cl)c(OCC(O)=O)ccc1C(=O)C(CC)=C,3163,CHEMBL456,Yes,SID11112144|SID124881979|MK-595|Etacrynic Acid|SID855762|SID104171276|SID122995|SID124881977|SID92763949|SID26746984|Ethacrynic acid|SID50100377|Edecrin|SID17389016|Ethacrynic Acid|SID26746983|SID144203886|,7719,10.0,
Clc1c(N2CCN(CC2)CCCCOc2cc3NC(=O)CCc3cc2)cccc1Cl,54790,CHEMBL1112,Yes,Aripiprazole|SID29215485|SID49666418|SID26719891|OPC-14597|OPC-31|Abilify|,720,10.0,
Clc1c(Nc2ccccc2C(O)=O)c(Cl)ccc1C,3897,CHEMBL509,Yes,CI-583|INF-4668|SID90341585|Meclofenamic Acid|SID26751537|Meclodium|Meclofenamate|Meclomen|Arquel|Movens|SID24424562|Meclophenamic Acid|,7720,10.0,
Clc1c(Oc2cc3[nH]c(SC)nc3cc2Cl)cccc1Cl,45565,CHEMBL1086440,No,SID85182180|SID49681760|SID50085431|Triclabendazole|SID26719864|SID144205784|SID26758032|,2,10.0,
Clc1c(S(=O)(=O)N)cc(S(=O)(=O)N)cc1Cl,2930,CHEMBL17,Yes,Diclofenamide|Daranide|Dichlorphenamide|SID56463645|SID11112264|,5,10.0,
Clc1c(cccc1Cl)-c1nnc(nc1N)N,3741,CHEMBL741,Yes,BW-430C|SID50104089|Lamictal|Lamictal Odt|Lamictal Xr|Lamotrigine|SID11113342|SID85231112|SID855818|SID26719658|SID90341162|Lamictal Cd|SID56423136|,387,10.0,
Clc1c(cccc1Cl)C1\C(=C(\OC)/O)\C(=NC(C)=C1C(OCC)=O)C,3216,CHEMBL1480,Yes,Plendil|SID50106290|H 154/82|SID144203706|SID90340828|SID85231057|H-154/82|SID124880165|SID17405071|SID50106289|Felodipine|,36,10.0,
Clc1c2CN3CC(=O)NC3=Nc2ccc1Cl,2097,CHEMBL760,Yes,Anagrelide|Xagrid|Agrylin|SID26755034|,34,10.0,
Clc1c2NC(=O)/C(/c2ccc1Cl)=C/C(OCC)=O,,,,,0,20.0,
Clc1c2O[C@]3([C@@H](CC(=O)C=C3OC)C)C(=O)c2c(OC)cc1OC,389934,CHEMBL562,Yes,Ultragris-165|Grifulvin V|Fulvicin P/G 165|Grifulvin|Griseofulvin|Ultramicrosize|Griseofulvin|Microsize|SID50085968|Gris-PEG|Ultragris-330|Griseofulvin|Ultramicrosize|SID26747301|Fulvicin-U/F|Fulvicin P/G|Grisactin Ultra|Griseofulvin|microcrystalline|Fulvicin|SID17389865|Griseofulvin|Gris-Peg|Grivate|SID144204638|Fulvicin-P/G|Fulvicin P/G 330|Grisactin|Griseofulvin|ultramicrocrystalline|,9,10.0,
Clc1c2[nH]c(-c3ccccc3NC(=O)C)c(c2ccc1Cl)CC#N,,,,,0,20.0,
Clc1c2[nH]c3c(C=CNC3=O)c2ccc1Cl,,,,,0,20.0,
Clc1c2[nH]c3c(CCCC3(O)C(=O)C)c2ccc1Cl,,,,,0,20.0,
Clc1c2[nH]c3c(CCCC3=O)c2ccc1Cl,,,,,0,20.0,
Clc1c2[nH]c3c(CCCC3C(=O)C)c2ccc1Cl,,,,,0,20.0,
Clc1c2[nH]c3c(c2ccc1Cl)cccc3-c1nc(ncc1)N,,,,,0,5.0,
Clc1c2[nH]c3c(c2ccc1Cl)cccc3C(=O)C,,,,,0,20.0,
Clc1c2[nH]c3c(c2ccc1OC)ccnc3C,9218228,,,,0,20.0,
Clc1c2c(C(O)=C3C(CC4C(O)(C(O)=C(C(=O)N)C(=O)C4N(C)C)C3=O)C2O)c(O)cc1,24818427,CHEMBL1617341,No,,0,10.0,
Clc1c2c(cc(O)c1O)C(CNCC2)c1ccc(O)cc1,3224,CHEMBL588,Yes,SID50104923|SK-82526|Corlopam|SK&amp;F-82526|Fenoldopam|SID90340762|,33,-,
Clc1c2n(C)c(-c3cc(ccc3)C)c(c2ccc1Cl)/C(=C\N)/C#N,,,,,0,20.0,
Clc1c2n(C)c(-c3ccccc3)c(c2ccc1Cl)/C(=C\N)/C#N,,,,,0,20.0,
Clc1c2n(C)c(C(OC(C)C)=O)c(c2ccc1Cl)/C(=C/N)/C#N,,,,,0,20.0,
Clc1c2n(c3c(c2ccc1)c(cc1c3cccc1)C#N)C,,,,,0,20.0,
Clc1c2n(c3c(c2ccc1Cl)cccc3-c1nc(ncc1)N)COCC[Si](C)(C)C,,,,,0,20.0,
Clc1c2n(c3c(c2ccc1Cl)cccc3C(=O)C)C,,,,,0,20.0,
Clc1c2n(c3c(c2ccc1Cl)cccc3C(=O)C)COCC[Si](C)(C)C,,,,,0,20.0,
Clc1c2n(c3c(c2ccc1OC)ccnc3C)CCCC,,,,,0,20.0,
Clc1c2n(cc(c2ccc1Cl)/C(=C\N)/C#N)C,,,,,0,20.0,
Clc1c2n3C=CC(=O)c4c3c(c2ccc1Cl)ccc4,,,,,0,5.0,
Clc1cc(C(=O)NC2C3CCN(C2)CC3)c(OC)cc1N,97262,CHEMBL18041,No,Zacopride,0,10.0,
Clc1cc(C(=O)NC2CCN(CC2OC)CCCOc2ccc(F)cc2)c(OC)cc1N,2667,CHEMBL1729,Yes,Propulsid|SID144204250|Risamal|Acenalin|R-51619|Cisapride|,10,10.0,
Clc1cc(C(=O)NCC2OCCN(C2)Cc2ccc(F)cc2)c(OCC)cc1N,106780,CHEMBL60889,No,Mosapride|SID50110109|SID29216210|,31,10.0,
Clc1cc(C(=O)NCCN(CC)CC)c(OC)cc1N,4024,CHEMBL86,Yes,"Metoclopramide|Peraprin|SID11111422|Reglan|Emequell|Metozolv|SID90341551|SID11111421|Clopra|Maxolon|Clopra-""Yellow""|Octamide|SID26751627|",178,10.0,
Clc1cc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)c(OC)cc1,3368,CHEMBL472,Yes,Glynase Prestab|SID50104148|HB 419|HB-419|SID56422139|SID50126365|Glyburide (Micronized)|Glibenclamide|Glynase|SID11113353|SID26751550|Diabeta|Glyburide|Micronase|SID11112597|SID26747032|SID50104149|SID26747031|SID50100249|SID85231061|SID11111219|SID144203709|U-26452|SID855894|SID50104150|,191,10.0,
Clc1cc(C(=O)N[C@@H]2CCN(C[C@@H]2OC)CCCOc2ccc(F)cc2)c(O)cc1N,129664,,,,0,7.7,
Clc1cc(C(=O)N[C@@H]2CCN(C[C@@H]2OC)CCCOc2ccc(F)cc2)c(OC)cc1N,5292927,CHEMBL560739,No,,0,10.0,
Clc1cc(Cl)c(O)c(C(=O)NC[C@H]2N(CCC2)CC)c1OC,2298373,CHEMBL8809,No,SID11114224|SID26719717|SID26752250|SID90340860|Raclopride|,11,10.0,
Clc1cc(Cl)c2c(nccc2)c1O,2621,CHEMBL1200596,Yes,SID26749233|Capitrol|SID24813759|Chloroxine|SID24715093|SID24715133|SID144205047|,0,10.0,
Clc1cc(Cl)cc2c1cc(c1c2cc(cc1)C(F)(F)F)C(O)CCN(CCCC)CCCC,34303,CHEMBL1107,Yes,Halofantrine|Halfan|,2,10.0,
Clc1cc(Cl)ccc1C(=NOCc1ccc(Cl)cc1Cl)Cn1ccnc1,4510239,CHEMBL1620948,No,,0,10.0,
Clc1cc(Cl)ccc1C(OCc1ccc(Cl)cc1)Cn1ccnc1,3086,CHEMBL808,Yes,Econazole|SID448079|SID104171384|Spectazole|,20,10.0,
Clc1cc(Cl)ccc1C(OCc1ccc(Cl)cc1Cl)Cn1ccnc1,4044,CHEMBL91,Yes,Vusion|Micatin|Oravig|SID443253|SID85148356|Miconazole|Dermazole|Monistat-Derm|SID144204152|Monistat|Monistat-3|Conofite|,78,10.0,
Clc1cc(Cl)ccc1C1(OC(CO1)COc1ccc(N2CCN(CC2)c2ccc(N3C=NN(C(CC)C)C3=O)cc2)cc1)Cn1ncnc1,3661,CHEMBL64391,No,SID104171385|SID26719680|SID26663153|SID855766|SID56422506|SID29215099|,0,10.1,
Clc1cc(Cl)ccc1Oc1ccc(Cl)cc1O,5363,CHEMBL849,Yes,Cloxifenol|Triclosan|DNDI1246774|CH-3565|SID144205201|SID57260157|Stri-Dex Face Wash|SID29215355|SID144214040|Stri-Dex Cleansing Bar|SID26754498|SID49674565|,121,10.0,
Clc1cc(Cl)ccc1[C@@]1(O[C@H](CO1)COc1ccc(N2CCN(CC2)C(=O)C)cc1)Cn1ccnc1,401695,CHEMBL75,No,SID144204227,0,10.0,
Clc1cc(Cl)ccc1[C@@]1(O[C@H](CO1)COc1ccc(N2CCN(CC2)c2ccc(N3C=NN(C(CC)C)C3=O)cc2)cc1)Cn1ncnc1,49927,CHEMBL22587,Yes,Sporanos|Onmel|Sporanox|SID144204405|Itraconazole|R-51211|,166,10.0,
Clc1cc(Cl)ccc1\C=N\n1c(nnc1S)CCCCc1nnc(S)n1\N=C\c1ccc(Cl)cc1Cl,9214459,,,,0,10.0,
Clc1cc(F)ccc1CNC(=O)C1CCN(S(=O)(=O)C)CC1,2487077,CHEMBL1542432,No,SID4240981,0,10.0,
Clc1cc(N(C)C)ccc1\C=N\NC(=O)CCCC(=O)N\N=C\c1ccc(N(C)C)cc1Cl,7881501,,,,0,10.0,
Clc1cc(N2C(N=C(N=C2N)N)(C)C)ccc1OCCCNC(=O)Nc1cc(S(F)(=O)=O)ccc1,242217,CHEMBL94760,No,,0,10.0,
Clc1cc(N2CCN(CC2)CCCN2N=C(N(CCOc3ccccc3)C2=O)CC)ccc1,4294,CHEMBL623,Yes,Nefazodone|SID49666410|Nefadar|SID50111710|Serzone|,10,10.0,
Clc1cc(N2CCN(CC2)CCCN2N=C3N(C=CC=C3)C2=O)ccc1,5332,CHEMBL621,Yes,Trazodone|Desyrel|Trazadone|Trialodine|SID11111901|SID11111900|SID90341328|,89,10.0,
Clc1cc(NCc2occc2)c(cc1S(=O)(=O)N)C(O)=O,3322,CHEMBL35,Yes,LB-502|Disal|SID17389872|SID11112125|SID47193739|Furosemide|Frusemide|Aquamed|Lasix|,299,10.0,
Clc1cc(Nc2ncnc3c2cc(OCCCN2CCOCC2)c(OC)c3)ccc1F,110217,CHEMBL939,Yes,SID137275808|SID103905343|Gefitinib|SID103905344|ZD-1839|SID144205236|SID29215403|SID50100103|Iressa|ZDJ-839|,636,10.0,
Clc1cc([N+](=O)[O-])ccc1NC(=O)c1cc(Cl)ccc1O,4322,CHEMBL1448,Yes,BAY-2353|SID50106712|SID50106713|SID90341111|SID124880876|Niclocide|Nicloside|SID85231153|SID11111533|SID56463356|SID50100291|Ex A Lint|Yomesan|SID104171199|SID144203760|Niclosamide|SID26747596|Lintex|SID11111534|SID26753613|,5,10.0,
Clc1cc(c-2c(c1)\C(\c1cc(Cl)ccc1-2)=C/c1ccc(Cl)cc1)C(O)C[O+](CCCC)[CH-]CCC,,,,,0,10.0,
Clc1cc(c2OCC(=O)N(c2c1)C)C(=O)NC1C2CCN(C1)CC2,2177,CHEMBL1598608,No,SID26751695|Azasetron Hydrochloride|Azasetron|,0,10.0,
Clc1cc(ccc1)C(=O)C(NC(C)(C)C)C,431,CHEMBL894,Yes,Wellbutrin|SID90340803|Wellbutrin Sr|Zyban|Bupropion|,634,10.0,
Clc1cc(ccc1Cl)CC(=O)N1CCN(CC1CN1CCCC1)C(OC)=O,3385,CHEMBL603370,No,SID50104864|SID90341533|SID26752200|SID124880192|,0,10.0,
Clc1cc(ccc1Cl)[C@@H]1CC[C@H](NC)c2c1cccc2,61881,CHEMBL809,Yes,Sertraline|SID50105684|SID26753299|SID50105682|SID50105683|SID90341218|Zoloft|SID50105685|SID29215139|SID49665783|,536,10.0,
Clc1cc(ccc1Cl)[C@@H]1C[C@@H](NC)c2c1cccc2,112242,CHEMBL341898,No,Indatraline|SID90341732|SID50104902|SID11111297|,0,10.0,
Clc1cc2-c3n(nc(n3)-c3occc3)C(=Nc2cc1)N,2589,CHEMBL16687,No,CGS-15943|SID124879506|SID11110890|SID11114185|,0,-,
Clc1cc2N(c3c(CCc2cc1)cccc3)CCCN(C)C,2699,CHEMBL415,Yes,SID90340575|SID50104278|SID11110978|SID50100206|SID26751616|SID144203668|Clomipramine|Anafranil|SID104171137|SID124879726|SID11110979|SID11113368|,34,10.0,
Clc1cc2N(c3c(Sc2cc1)cccc3)CCCN(C)C,2625,CHEMBL71,Yes,SID50100209|Largactil|SID26751621|SID124879757|SID57287810|SID124879752|Chlorpromazine Phenolphthalinate|SID26747094|SID90340916|Chlorpromazine|SID50104291|SID144203671|Chlorpromazine Hibenzate|SID11110990|Thorazine|Elmarin|SID11110991|Chlorpromazine Tannate|Megaphen|SID26751620|SID124879754|SID26747095|Sonazine|SID104171139|,17,10.0,
Clc1cc2N(c3c(Sc2cc1)cccc3)CCCN1CCN(CC1)C,4748,CHEMBL728,Yes,SID11111686|SID50104093|SID855827|SID11111685|SID50100332|SID90341442|Prochlorperazine|Compazine|Compro|Prochlorperazine Mesilate|,39,10.0,
Clc1cc2N(c3c(Sc2cc1)cccc3)CCCN1CCN(CC1)CCO,4586,CHEMBL567,Yes,SID56422427|SID26747080|SID90340948|Perphenazine|Perphenazine Maleate|Trilafon-La|Etaperazine|Chlorpiprazine|SID856006|SID57287811|Trilafon|Decentan|Fentazin|SID50100322|SID50104234|SID85231190|SID11111645|Perphenazine Fendizoate|SID50104233|SID11111646|SID26747081|SID144203784|SID124881147|,72,10.0,
Clc1cc2N=C(N3CCN(CC3)C)c3c(Nc2cc1)cccc3,10442628,CHEMBL42,Yes,SID104171134|SID26751524|SID124879688|SID90341777|Clozaril|HF-1854|SID50104084|SID11110968|Fazaclo Odt|SID11110967|SID124879684|SID50104086|SID85230974|SID11113341|SID56422144|SID124879691|Fazaclo|Clozapine|SID855811|SID124879686|SID26747001|SID144203664|,149,10.0,
Clc1cc2NC(N(S(=O)(=O)c2cc1S(=O)(=O)N)C)CCl,3978,CHEMBL1577,Yes,Aquatensen|Methyclothiazide|SID92764517|SID144206003|Enduron|,2,10.0,
Clc1cc2NC(Oc2cc1)=O,2632,CHEMBL1371,Yes,Strifon Forte Dsc|Parafon Forte|SID85230968|Chlorzoxazone|SID90340987|Parafon Forte Dsc|SID8139927|Paraflex|SID50106005|SID11110946|Parafon|Strifon|Parafon-Forte|SID11110945|,12,10.0,
Clc1cc2NC=NS(=O)(=O)c2cc1S(=O)(=O)N,2619,CHEMBL842,Yes,Diuril|SID50105505|SID855976|SID11110950|Chlorothiazide|Chlorthiazide|SID17389544|SID11110951|,8,10.0,
Clc1cc2NCNS(=O)(=O)c2cc1S(=O)(=O)N,3513,CHEMBL435,Yes,Hydrodiuril|SID50103978|SID17389854|Esidrix|HCTZ|SID855646|Hydro-D|Zide|SID11111270|SID11111269|SID103995|Hydrochlorothiazide Intensol|Microzide|SID85231074|Hydrochlorothiazide|Oretic|,749,10.0,
Clc1cc2S(=O)(=O)N=C(Nc2cc1)C,2911,CHEMBL181,Yes,SID855807|SID26751995|SID124879964|Diazoxide|Eudimine|SID56422090|SID26747146|Hyperstat|SCH-6783|SRG-95213|Mutabase|SID11113823|SID144203683|Proglycem|SID50104671|SID11111111|,43,10.0,
Clc1cc2[C@H]3[C@H](c4c(Oc2cc1)cccc4)CN(C3)C,2300725,CHEMBL1201756,Yes,Asenapine|Saphris|SID144207145|,171,10.0,
Clc1cc2c(-n3c(CN=C2c2ccccc2F)cnc3C)cc1,4047,CHEMBL655,Yes,Versed|SID50113067|Midazolam|Dormicum|Hypnovel|,861,10.0,
Clc1cc2c(-n3c(nnc3C)CN=C2c2ccccc2)cc1,2034,CHEMBL661,Yes,U-31889|Xanax Xr|Alprazolam|SID26719699|Xanax|SID29215419|Niravam|SID144205245|,184,10.0,
Clc1cc2c(N(C)C(=O)CN=C2c2ccccc2)cc1,2908,CHEMBL12,Yes,Q-Pam|Valium|Tranimul|Vivol|E-Pam|Paxel|Scriptopam|Ro-52807|Stesolid|Diastat|Diazepam Intensol|Valrelease|Diazepam|Dizac|WY-3467|Apozepam|SID124893574|SID144206622|Diastat Acudial|Relanium|Serenack|LA-III|,90,10.0,
Clc1cc2c(N(CCC[C@H]2O)C(=O)c2ccc(NC(=O)c3ccccc3C)cc2C)cc1,391976,,,,0,10.0,
Clc1cc2c(N=C(NC)C[N+]([O-])=C2c2ccccc2)cc1,10248513,CHEMBL451,Yes,Chlordiazachel|Librelease|Zeisin|Clopoxide|Libritabs|SID144205120|A-Poxide|Librium|SID49648393|Lygen|Chlordiazepoxide|Trakipeal|SID144205121|,14,10.0,
Clc1cc2c(NC(O[C@]2(C#CC2CC2)C(F)(F)F)=O)cc1,57715,CHEMBL223228,Yes,SID26719858|SID144205135|Efavirenz|SID49681705|Sustiva|,741,10.0,
Clc1cc2c(Oc3c(N=C2N2CCN(CC2)C)cccc3)cc1,3827,CHEMBL831,Yes,SUM-3170|Adasuve|SID50103874|SID50104026|Loxitane Intramuscular [as hydrochloride]|SID50104025|SID50104024|CL-62362|Loxapac|SUM 3170|SID90341467|Loxitane-C Oral Suspension [as hydrochloride]|Loxitane|Loxapine|,58,10.0,
Clc1cc2c(Oc3c(N=C2N2CCNCC2)cccc3)cc1,2085,CHEMBL1113,Yes,CL-67772|SID26747067|SID85230879|SID90341240|SID50104206|SID104171096|SID26751577|Amoxapine|SID50104205|SID50100159|SID144203615|Asendin|SID11110675|SID124879022|SID855963|SID11110676|,1,10.0,
Clc1cc2c(cc1)C(c1ncccc1CC2)=C1CCN(CC1)C(OCC)=O,3820,CHEMBL998,Yes,Loratadine Redidose|Claritin-D|Children's Claritin|SID11111394|Claritin Hives Relief Reditab|Loratadine|SID90340694|SID104171183|SID124880599|Claritin|Claritin Hives Relief|Claritin Reditabs|SCH-29851|SID26747010|SID26719690|SID144203736|Alavert|SID50104102|SID56424146|SID535878|SID855843|SID11113345|SID26751528|SID124880597|SID85231118|,151,10.0,
Clc1cc2c(cc1)C(c1ncccc1CC2)=C1CCNCC1,110575,CHEMBL1172,Yes,SCH-34117|SID50086379|SID26754458|SID26719697|SID144205127|Clarinex|Desloratadine|SID14742700|SID29215232|,174,10.0,
Clc1cc2c3c([nH]c2cc1OC)c(ncc3)C,9152962,,,,0,20.0,
Clc1cc2nc(ccc2cc1)\C=C\c1cc(ccc1)[C@H](SCC1(CC1)CC(O)=O)CCc1ccccc1C(O)(C)C,4444507,CHEMBL787,Yes,MK-476|Montelukast|Singulair|Montelo-10|,610,9.6,
Clc1cc2nc(oc2cc1)O,2632,CHEMBL1371,Yes,Strifon Forte Dsc|Parafon Forte|SID85230968|Chlorzoxazone|SID90340987|Parafon Forte Dsc|SID8139927|Paraflex|SID50106005|SID11110946|Parafon|Strifon|Parafon-Forte|SID11110945|,12,10.0,
Clc1cc2nccc(NC(CCCN(CC)CC)C)c2cc1,2618,CHEMBL76,Yes,Chlorochine|SID90340711|Nivaquine|GNF-Pf-4216|SID124879700|Chloroquine|SID50111008|NSC-187208|Aralen|Malaquin|,388,10.0,
Clc1cc2nccc(NC(CCCN(CCO)CC)C)c2cc1,3526,CHEMBL1535,Yes,Plaquenil|SID29215442|Hydroxychloroquine|,236,10.0,
